Gene,log2FC,p-value
RERG,-2.437041563066675,6.956440429317075e-05
SLC25A25,0.865499929165154,0.00017805093225208596
RNF13,-1.00235165235825,0.0004040324006231917
SORBS2,-3.522438504211352,0.0004129631644215707
RABL5,-1.8993386731777182,0.0004169642914632465
DUSP14,-1.7044727364609598,0.00042660941022535
ZBTB8A,-1.5289914839848404,0.0004931583409112877
MAML3,-1.6787543815381358,0.00051339227925745
NDST1,-1.3006958912965114,0.0005185397946064145
XPO6,3.4452992768361437,0.0005502986232704453
ATPAF1,-1.5823289352708323,0.000598560139889541
NEU1,-0.9872622824012054,0.0007826786764610233
GGPS1,-1.0910166661444682,0.0008128150837333047
RAP1GAP,-3.4046339139703914,0.0008840254455839435
CABLES1,-1.5529160489152611,0.000928096478502741
ANXA4,-1.6537679470151123,0.0009682811087020346
TMEM125,-2.800117812787306,0.0009693555766805833
LMX1B,-2.5963029914680402,0.0009785758664051082
HIST1H2BK,-2.696071902754804,0.0010223598208583206
IRS1,-1.7727428087621058,0.0013613171892438874
C17orf56,1.0624216651761849,0.0013809287267397053
CRISPLD1,-2.262887624657555,0.0013874602750014603
CDK2AP1,-1.8742168045602106,0.0013998904883256332
MAP4K3,-2.538501867095352,0.001480663760228274
NUP37,-1.7413214971711826,0.001492732475090564
CLMN,-2.8737465313706947,0.001620963102507195
RAB6A,-2.063873447390258,0.0016245617588230847
TMEM164,-0.9837722995167886,0.0016250347493115046
PVRL4,-2.4936538262752888,0.0016648887763239934
IRF3,1.7512781152452632,0.0016974913971393125
ELF3,-2.3480434785439512,0.0017461489599866187
ZFYVE21,-0.5940210123159497,0.0018311380516014037
ETV5,-0.62315836265487,0.0018579084723866792
MRPL45P2,-1.6047230995671298,0.0018825156825069763
AR,-2.995747540808164,0.0019237385118906153
KIAA0907,-1.2788931087785453,0.001951373379262643
ZBTB7C,-2.2651725426954683,0.0019922671264444923
MTX2,-1.7692604986054157,0.001996689099991063
TRAK2,-1.024007741444902,0.0021274696908525547
